Layer,CO,CO2,H2O,H,O,OH,N2,NO,Al,HCl,Cl,soot (BC)
Low_troposphere,0,0,0,0,0,0,0,0,0,0,0,0
High_troposphere,0,0,0,0,0,0,0,0,0,0,0,0
Ozone_layer,0,0,0,0,0,0,0,0,0,0,0,0
Stratosphere,0,0,0,0,0,0,0,0,0,0,0,0
Mesosphere,0.2947926981751493,0.017898128103491204,0.07053968134905357,0.02737360768769243,0.0010528310649112473,0.009475479584201226,0.08527931625781103,0.0010528310649112473,0.3600682241996466,0.1558189976068646,0.026320776622781185,0.004211324259644989
Thermosphere,3.2609542798137587,0.19798650984583535,0.7802997740982923,0.3028028974112776,0.011646265285049138,0.10481638756544223,0.9433474880889802,0.011646265285049138,3.9830227274868055,1.7236472621872723,0.29115663212622844,0.04658506114019655
Outer_space,0,0,0,0,0,0,0,0,0,0,0,0
